merchant_text,amount,category,anomaly_flag,status
Society Maintenance,8905,Bills,1,normal
Society Maintenance,13174,Bills,1,normal
PG Rent Payment,15067,Rent,1,normal
Stock Market Purchase,12115,Investment,1,normal
JioMart Grocery,9035,Groceries,1,normal
Uber Trip,9134,Travel,1,normal
Cab Booking Meru,4211,Travel,1,normal
Meesho Purchase,10536,Shopping,1,normal
YouTube Premium,5746,Entertainment,1,normal
Rent Payment Landlord,2044,Rent,1,normal
Vistara Airlines,19572,Travel,1,normal
Vistara Airlines,10177,Travel,1,normal
Lifestyle Store,1232,Shopping,1,normal
Zara Clothing,3628,Shopping,1,normal
Physiotherapy Session,12466,Healthcare,1,normal
Diagnostic Lab Test,13810,Healthcare,1,normal
Baskin Robbins,19694,Food,1,normal
Airport Cab,18782,Travel,1,normal
Netmeds Order,9627,Healthcare,1,normal
NPS Contribution,19588,Investment,1,normal
Airport Cab,16998,Travel,1,normal
YouTube Premium,7014,Entertainment,1,normal
GPay Transfer,9544,Transfer,1,normal
Loan Repayment to Friend,6234,Transfer,1,normal
Haldiram's,13989,Food,1,normal
Rapido Bike,13982,Travel,1,normal
Gold ETF Purchase,5435,Investment,1,normal
Loan Repayment to Friend,3669,Transfer,1,normal
Reliance Fresh,2154,Groceries,1,normal
Croma Electronics,11652,Shopping,1,normal
Haldiram's,13339,Food,1,normal
Water Board Payment,8314,Bills,1,normal
Amusement Park Entry,10730,Entertainment,1,normal
IRCTC Railways,3049,Travel,1,normal
Stock Market Purchase,17868,Investment,1,normal
Bowling Alley Payment,3045,Entertainment,1,normal
Grofers Order,2910,Groceries,1,normal
Petrol Pump Payment,2286,Travel,1,normal
BookMyShow Tickets,16367,Entertainment,1,normal
PVR Cinemas,3326,Entertainment,1,normal
LIC Premium,6331,Investment,1,normal
Chaayos,1212,Food,1,normal
Burger King,17218,Food,1,normal
Cab Booking Meru,12769,Travel,1,normal
Nykaa Beauty,17348,Shopping,1,normal
Tata Sky Recharge,9120,Bills,1,normal
Amusement Park Entry,8007,Entertainment,1,normal
Rental Agreement Payment,4674,Rent,1,normal
Rental Agreement Payment,12769,Rent,1,normal
Toll Payment FASTag,160,Travel,-1,UNUSUAL
Vi Recharge,16249,Bills,1,normal
YouTube Premium,1695,Entertainment,1,normal
PPF Deposit,13518,Investment,1,normal
Amusement Park Entry,1193,Entertainment,1,normal
Vistara Airlines,7779,Travel,1,normal
KFC Order,17745,Food,1,normal
Diagnostic Lab Test,18246,Healthcare,1,normal
Baskin Robbins,16368,Food,1,normal
Amazon Fresh,1346,Groceries,1,normal
Ajio Store,9469,Shopping,1,normal
Ajio Store,2739,Shopping,1,normal
Chai Point,3699,Food,1,normal
Stock Market Purchase,6749,Investment,1,normal
Fixed Deposit Renewal,9534,Investment,1,normal
Grofers Order,14111,Groceries,1,normal
Amazon Purchase,413,Shopping,1,normal
Health Checkup Package,6753,Healthcare,1,normal
Gold ETF Purchase,14123,Investment,1,normal
Amazon Prime Video,3751,Entertainment,1,normal
H&M Store,18020,Shopping,1,normal
Rent Payment Landlord,17583,Rent,1,normal
Faasos Order,6919,Food,1,normal
SBI Life Insurance,5061,Investment,1,normal
Lifestyle Store,14403,Shopping,1,normal
Apartment Rent Payment,2807,Rent,1,normal
Flipkart Order,18730,Shopping,1,normal
Ajio Store,17291,Shopping,1,normal
Decathlon Sports,19557,Shopping,-1,UNUSUAL
ULIP Premium Payment,17499,Investment,1,normal
1mg Pharmacy,10823,Healthcare,1,normal
INOX Movies,2499,Entertainment,1,normal
LIC Premium,9700,Investment,1,normal
Medplus Store,10318,Healthcare,1,normal
Groww Investment,9065,Investment,1,normal
Society Maintenance,1431,Bills,1,normal
Spotify Premium,10370,Entertainment,1,normal
H&M Store,18204,Shopping,1,normal
LIC Premium,8708,Investment,1,normal
House Rent NEFT,9969,Rent,1,normal
Water Board Payment,19066,Bills,1,normal
Spencer's Retail,18199,Groceries,1,normal
ACT Broadband,11534,Bills,1,normal
Amusement Park Entry,2997,Entertainment,1,normal
JioMart Grocery,13377,Groceries,1,normal
1mg Pharmacy,5130,Healthcare,1,normal
Petrol Pump Payment,2292,Travel,1,normal
Spotify Premium,19924,Entertainment,-1,UNUSUAL
NEFT to Friend,15214,Transfer,1,normal
Money Sent to Mom,14160,Transfer,1,normal
GPay Transfer,14088,Transfer,1,normal
Tata Sky Recharge,3024,Bills,1,normal
ACT Broadband,11148,Bills,1,normal
Doctor Consultation Fee,4888,Healthcare,1,normal
UPI Transfer to Family,10425,Transfer,1,normal
Paytm Wallet Load,12591,Transfer,1,normal
Milk Delivery,5148,Groceries,1,normal
Flipkart Order,4429,Shopping,1,normal
SBI Life Insurance,8279,Investment,1,normal
Domino's Pizza,8309,Food,1,normal
Broadband Renewal,14712,Bills,1,normal
Uber Trip,10184,Travel,1,normal
Split Bill Payment,19742,Transfer,1,normal
Zara Clothing,9643,Shopping,1,normal
Loan Repayment to Friend,12843,Transfer,1,normal
Croma Electronics,18335,Shopping,1,normal
PG Rent Payment,17722,Rent,1,normal
Wallet Top-up,12678,Transfer,1,normal
Hotstar Subscription,17709,Entertainment,1,normal
Swiggy Order,17474,Food,1,normal
Wallet Top-up,9637,Transfer,1,normal
Vi Recharge,13220,Bills,1,normal
Zomato Delivery,7885,Food,1,normal
Paytm Wallet Load,7760,Transfer,1,normal
Meesho Purchase,19882,Shopping,-1,UNUSUAL
Apartment Rent Payment,7849,Rent,1,normal
House Rent NEFT,15916,Rent,1,normal
ULIP Premium Payment,15418,Investment,1,normal
Hotstar Subscription,1693,Entertainment,1,normal
Petrol Pump Payment,2432,Travel,1,normal
Milk Delivery,12281,Groceries,1,normal
PPF Deposit,7737,Investment,1,normal
Doctor Consultation Fee,18796,Healthcare,1,normal
Croma Electronics,10495,Shopping,1,normal
Uber Trip,5909,Travel,1,normal
Cafe Coffee Day,7170,Food,1,normal
Local Kirana Store,13507,Groceries,1,normal
Grofers Order,17983,Groceries,1,normal
YouTube Premium,13354,Entertainment,1,normal
ACT Broadband,12426,Bills,1,normal
NPS Contribution,9143,Investment,1,normal
Hospital Bill Payment,18468,Healthcare,1,normal
HDFC Mutual Fund SIP,10882,Investment,1,normal
Vegetable Vendor Payment,8817,Groceries,1,normal
Amazon Fresh,4272,Groceries,1,normal
Uber Trip,10701,Travel,1,normal
Apartment Rent Payment,18597,Rent,1,normal
Wow Momo,8095,Food,1,normal
Flipkart Order,9100,Shopping,1,normal
Concert Ticket Booking,18647,Entertainment,1,normal
NEFT to Friend,7209,Transfer,1,normal
Metro Card Recharge,2961,Travel,1,normal
House Rent NEFT,15460,Rent,1,normal
Local Kirana Store,5502,Groceries,1,normal
SpiceJet Booking,5454,Travel,1,normal
Haldiram's,12590,Food,1,normal
Subway Sandwich,15130,Food,1,normal
Local Restaurant Bill,10074,Food,1,normal
Ajio Store,8029,Shopping,1,normal
Paytm Wallet Load,6533,Transfer,1,normal
Airport Cab,11905,Travel,1,normal
Bowling Alley Payment,3278,Entertainment,1,normal
PG Rent Payment,7817,Rent,1,normal
Health Checkup Package,18743,Healthcare,1,normal
Loan Repayment to Friend,1878,Transfer,1,normal
NPS Contribution,6538,Investment,1,normal
Loan Repayment to Friend,14107,Transfer,1,normal
Diagnostic Lab Test,15085,Healthcare,1,normal
Groww Investment,2232,Investment,1,normal
Pantaloons Purchase,14251,Shopping,1,normal
Rent Payment Landlord,9908,Rent,1,normal
Apollo Pharmacy,18248,Healthcare,1,normal
IMPS Transfer,18206,Transfer,1,normal
Split Bill Payment,10047,Transfer,1,normal
House Rent NEFT,17979,Rent,1,normal
Practo Consultation,7173,Healthcare,1,normal
Grocery Store Bill,9305,Groceries,1,normal
LIC Premium,4474,Investment,1,normal
Internet Bill Payment,3607,Bills,1,normal
House Rent NEFT,1672,Rent,1,normal
Ola Cabs,6382,Travel,1,normal
Zara Clothing,655,Shopping,1,normal
Vistara Airlines,3605,Travel,1,normal
Amazon Purchase,3321,Shopping,1,normal
Bowling Alley Payment,13530,Entertainment,1,normal
Society Maintenance,6969,Bills,1,normal
Ola Cabs,3953,Travel,1,normal
Tata Sky Recharge,809,Bills,1,normal
NEFT to Friend,7028,Transfer,1,normal
Mobile Bill Payment,16865,Bills,1,normal
Apartment Rent Payment,4381,Rent,1,normal
Tata Sky Recharge,12693,Bills,1,normal
Concert Ticket Booking,6775,Entertainment,1,normal
Practo Consultation,8905,Healthcare,1,normal
ACT Broadband,5105,Bills,1,normal
Star Bazaar,587,Groceries,1,normal
INOX Movies,14575,Entertainment,1,normal
Apartment Rent Payment,4551,Rent,1,normal
Airport Cab,12396,Travel,1,normal
Practo Consultation,4794,Healthcare,1,normal
INOX Movies,5677,Entertainment,1,normal
DMart Purchase,15566,Groceries,1,normal
Reliance Digital,4637,Shopping,1,normal
Zara Clothing,11181,Shopping,1,normal
Practo Consultation,15702,Healthcare,1,normal
Amusement Park Entry,16637,Entertainment,1,normal
Burger King,16107,Food,1,normal
Amazon Purchase,8763,Shopping,1,normal
SBI Life Insurance,13185,Investment,1,normal
Physiotherapy Session,12453,Healthcare,1,normal
LIC Premium,4707,Investment,1,normal
YouTube Premium,3799,Entertainment,1,normal
NPS Contribution,18134,Investment,1,normal
UPI Transfer to Family,12882,Transfer,1,normal
PG Rent Payment,339,Rent,-1,UNUSUAL
Money Sent to Mom,17111,Transfer,1,normal
DMart Purchase,16016,Groceries,1,normal
Amazon Fresh,14349,Groceries,1,normal
ULIP Premium Payment,707,Investment,1,normal
Tata Sky Recharge,4195,Bills,1,normal
Netmeds Order,3367,Healthcare,1,normal
Hospital Bill Payment,17255,Healthcare,1,normal
Spencer's Retail,16344,Groceries,1,normal
Netmeds Order,16290,Healthcare,1,normal
Vegetable Vendor Payment,19717,Groceries,1,normal
LIC Premium,5960,Investment,1,normal
Rapido Bike,3787,Travel,1,normal
Medplus Store,13488,Healthcare,1,normal
Rent Payment Landlord,10781,Rent,1,normal
Nature's Basket,10247,Groceries,1,normal
BSNL Bill,16492,Bills,1,normal
PG Rent Payment,2853,Rent,1,normal
Netflix Subscription,8809,Entertainment,1,normal
Nature's Basket,11593,Groceries,1,normal
Star Bazaar,375,Groceries,-1,UNUSUAL
Mobile Bill Payment,13612,Bills,1,normal
Paytm Wallet Load,4102,Transfer,1,normal
Money Sent to Mom,11032,Transfer,1,normal
Metro Cash and Carry,14557,Groceries,1,normal
Diesel Fuel Station,13299,Travel,1,normal
Rental Agreement Payment,12386,Rent,1,normal
Barbeque Nation,17766,Food,1,normal
Diagnostic Lab Test,17646,Healthcare,1,normal
Nykaa Beauty,15995,Shopping,1,normal
Flipkart Order,10014,Shopping,1,normal
Bowling Alley Payment,12920,Entertainment,1,normal
Flipkart Order,8111,Shopping,1,normal
More Supermarket,15633,Groceries,1,normal
Lifestyle Store,11138,Shopping,1,normal
Amazon Fresh,12932,Groceries,1,normal
IKEA Furniture,18377,Shopping,1,normal
SpiceJet Booking,14152,Travel,1,normal
Uber Trip,15527,Travel,1,normal
YouTube Premium,7284,Entertainment,1,normal
JioMart Grocery,17430,Groceries,1,normal
Tata Sky Recharge,5124,Bills,1,normal
PG Rent Payment,17597,Rent,1,normal
PG Rent Payment,576,Rent,1,normal
Gold ETF Purchase,16540,Investment,1,normal
Spencer's Retail,17481,Groceries,1,normal
Pantaloons Purchase,4012,Shopping,1,normal
Pantaloons Purchase,19089,Shopping,1,normal
Zerodha Trading,14302,Investment,1,normal
Apartment Rent Payment,3928,Rent,1,normal
Bowling Alley Payment,12626,Entertainment,1,normal
ACT Broadband,2446,Bills,1,normal
Loan Repayment to Friend,13593,Transfer,1,normal
Split Bill Payment,1595,Transfer,1,normal
YouTube Premium,2177,Entertainment,1,normal
KFC Order,8711,Food,1,normal
Gaming Purchase,1144,Entertainment,1,normal
Reliance Fresh,14088,Groceries,1,normal
Jio Recharge,9343,Bills,1,normal
Internet Bill Payment,2365,Bills,1,normal
Society Maintenance,9524,Bills,1,normal
Money Sent to Mom,18912,Transfer,1,normal
LIC Premium,11394,Investment,1,normal
Fixed Deposit Renewal,4284,Investment,1,normal
Amazon Purchase,17228,Shopping,1,normal
Rent Payment Landlord,882,Rent,1,normal
YouTube Premium,6961,Entertainment,1,normal
Dental Clinic Payment,876,Healthcare,1,normal
SBI Life Insurance,6194,Investment,1,normal
Rental Agreement Payment,8680,Rent,1,normal
Behrouz Biryani,17469,Food,1,normal
GPay Transfer,2615,Transfer,1,normal
HDFC Mutual Fund SIP,16831,Investment,1,normal
Chai Point,10349,Food,1,normal
Snapdeal Order,8154,Shopping,1,normal
Amazon Prime Video,15496,Entertainment,1,normal
NEFT to Friend,4128,Transfer,1,normal
PG Rent Payment,1617,Rent,1,normal
Burger King,9821,Food,1,normal
Domino's Pizza,14542,Food,1,normal
Ola Cabs,18708,Travel,1,normal
House Rent NEFT,2427,Rent,1,normal
Amusement Park Entry,7973,Entertainment,1,normal
Spencer's Retail,612,Groceries,1,normal
PhonePe to Friend,6034,Transfer,1,normal
Nykaa Beauty,6126,Shopping,1,normal
Practo Consultation,7042,Healthcare,1,normal
Rental Agreement Payment,13542,Rent,1,normal
Cab Booking Meru,8011,Travel,1,normal
Gold ETF Purchase,14986,Investment,1,normal
SBI Life Insurance,3910,Investment,1,normal
Amusement Park Entry,6149,Entertainment,1,normal
Subway Sandwich,18848,Food,1,normal
House Rent NEFT,15184,Rent,1,normal
IMPS Transfer,18652,Transfer,1,normal
Pizza Hut,15622,Food,1,normal
Flat Rent Transfer,16961,Rent,1,normal
Star Bazaar,15716,Groceries,1,normal
Redbus Ticket,1698,Travel,1,normal
Chaayos,13774,Food,1,normal
Petrol Pump Payment,17778,Travel,1,normal
Vistara Airlines,9259,Travel,1,normal
Rent Payment Landlord,11011,Rent,1,normal
Domino's Pizza,18548,Food,1,normal
PhonePe to Friend,7717,Transfer,1,normal
Reliance Fresh,13726,Groceries,1,normal
Grocery Store Bill,2623,Groceries,1,normal
Zomato Delivery,9012,Food,1,normal
Redbus Ticket,3831,Travel,1,normal
Decathlon Sports,8449,Shopping,1,normal
LIC Premium,15359,Investment,1,normal
Diesel Fuel Station,8558,Travel,1,normal
Subway Sandwich,8668,Food,1,normal
Practo Consultation,14919,Healthcare,1,normal
Health Checkup Package,9108,Healthcare,1,normal
Reliance Fresh,18252,Groceries,1,normal
IMPS Transfer,2449,Transfer,1,normal
Jio Recharge,17489,Bills,1,normal
Vegetable Vendor Payment,9200,Groceries,1,normal
Physiotherapy Session,7709,Healthcare,1,normal
McDonalds,13803,Food,1,normal
Reliance Fresh,11692,Groceries,1,normal
Food Court Payment,10479,Food,1,normal
Concert Ticket Booking,13430,Entertainment,1,normal
House Rent NEFT,5844,Rent,1,normal
Nykaa Beauty,14917,Shopping,1,normal
Grocery Store Bill,8855,Groceries,1,normal
Netflix Subscription,13052,Entertainment,1,normal
PG Rent Payment,19606,Rent,1,normal
Apartment Rent Payment,16504,Rent,1,normal
Baskin Robbins,14407,Food,1,normal
McDonalds,18870,Food,1,normal
Zara Clothing,4934,Shopping,1,normal
Medplus Store,12315,Healthcare,1,normal
Paytm Wallet Load,6427,Transfer,1,normal
PG Rent Payment,4676,Rent,1,normal
Milk Delivery,1330,Groceries,1,normal
Decathlon Sports,16401,Shopping,1,normal
Gold ETF Purchase,14512,Investment,1,normal
Electricity Board Bill,1991,Bills,1,normal
Health Checkup Package,6686,Healthcare,1,normal
Airtel Postpaid,9975,Bills,1,normal
ULIP Premium Payment,2242,Investment,1,normal
Amusement Park Entry,4182,Entertainment,1,normal
Nykaa Beauty,6288,Shopping,1,normal
