merchant_text,amount,category
Diesel Fuel Station,13294,Travel
Hospital Bill Payment,2831,Healthcare
PhonePe to Friend,3377,Transfer
NPS Contribution,4065,Investment
Society Maintenance,10163,Bills
Doctor Consultation Fee,15107,Healthcare
Hotstar Subscription,15447,Entertainment
Spotify Premium,16876,Entertainment
Groww Investment,17177,Investment
Cult Fit Membership,6199,Healthcare
PPF Deposit,3462,Investment
Petrol Pump Payment,19253,Travel
Swiggy Order,4776,Food
NPS Contribution,8926,Investment
KFC Order,19314,Food
Concert Ticket Booking,4811,Entertainment
BSNL Bill,16236,Bills
Behrouz Biryani,1905,Food
Jio Recharge,12773,Bills
Hotstar Subscription,19005,Entertainment
INOX Movies,17846,Entertainment
Dental Clinic Payment,7685,Healthcare
Money Sent to Mom,4775,Transfer
Rental Agreement Payment,17773,Rent
House Rent NEFT,3036,Rent
Starbucks Coffee,8261,Food
Milk Delivery,8130,Groceries
Chai Point,4577,Food
Diagnostic Lab Test,9703,Healthcare
Rent Payment Landlord,9350,Rent
Gold ETF Purchase,11686,Investment
Money Sent to Mom,1851,Transfer
Lifestyle Store,1528,Shopping
Cab Booking Meru,1792,Travel
Diesel Fuel Station,575,Travel
Grocery Store Bill,2911,Groceries
Bowling Alley Payment,994,Entertainment
Practo Consultation,4080,Healthcare
Airport Cab,12806,Travel
Gaming Purchase,18124,Entertainment
IMPS Transfer,10676,Transfer
PhonePe to Friend,10240,Transfer
Baskin Robbins,15842,Food
Rental Agreement Payment,10888,Rent
JioMart Grocery,7099,Groceries
Rental Agreement Payment,4893,Rent
Gaming Purchase,6263,Entertainment
Society Maintenance,8905,Bills
Society Maintenance,13174,Bills
PG Rent Payment,15067,Rent
Stock Market Purchase,12115,Investment
JioMart Grocery,9035,Groceries
Uber Trip,9134,Travel
Cab Booking Meru,4211,Travel
Meesho Purchase,10536,Shopping
YouTube Premium,5746,Entertainment
Rent Payment Landlord,2044,Rent
Vistara Airlines,19572,Travel
Vistara Airlines,10177,Travel
Lifestyle Store,1232,Shopping
Zara Clothing,3628,Shopping
Physiotherapy Session,12466,Healthcare
Diagnostic Lab Test,13810,Healthcare
Baskin Robbins,19694,Food
Airport Cab,18782,Travel
Netmeds Order,9627,Healthcare
NPS Contribution,19588,Investment
Airport Cab,16998,Travel
YouTube Premium,7014,Entertainment
GPay Transfer,9544,Transfer
Loan Repayment to Friend,6234,Transfer
Haldiram's,13989,Food
Rapido Bike,13982,Travel
Gold ETF Purchase,5435,Investment
Loan Repayment to Friend,3669,Transfer
Reliance Fresh,2154,Groceries
Croma Electronics,11652,Shopping
Haldiram's,13339,Food
Water Board Payment,8314,Bills
Amusement Park Entry,10730,Entertainment
IRCTC Railways,3049,Travel
Stock Market Purchase,17868,Investment
Bowling Alley Payment,3045,Entertainment
Grofers Order,2910,Groceries
Petrol Pump Payment,2286,Travel
BookMyShow Tickets,16367,Entertainment
PVR Cinemas,3326,Entertainment
LIC Premium,6331,Investment
Chaayos,1212,Food
Burger King,17218,Food
Cab Booking Meru,12769,Travel
Nykaa Beauty,17348,Shopping
Tata Sky Recharge,9120,Bills
Amusement Park Entry,8007,Entertainment
Rental Agreement Payment,4674,Rent
Rental Agreement Payment,12769,Rent
Toll Payment FASTag,160,Travel
Vi Recharge,16249,Bills
YouTube Premium,1695,Entertainment
PPF Deposit,13518,Investment
Amusement Park Entry,1193,Entertainment
Vistara Airlines,7779,Travel
KFC Order,17745,Food
Diagnostic Lab Test,18246,Healthcare
Baskin Robbins,16368,Food
Amazon Fresh,1346,Groceries
Ajio Store,9469,Shopping
Ajio Store,2739,Shopping
Chai Point,3699,Food
Stock Market Purchase,6749,Investment
Fixed Deposit Renewal,9534,Investment
Grofers Order,14111,Groceries
Amazon Purchase,413,Shopping
Health Checkup Package,6753,Healthcare
Gold ETF Purchase,14123,Investment
Amazon Prime Video,3751,Entertainment
H&M Store,18020,Shopping
Rent Payment Landlord,17583,Rent
Faasos Order,6919,Food
SBI Life Insurance,5061,Investment
Lifestyle Store,14403,Shopping
Apartment Rent Payment,2807,Rent
Flipkart Order,18730,Shopping
Ajio Store,17291,Shopping
Decathlon Sports,19557,Shopping
ULIP Premium Payment,17499,Investment
1mg Pharmacy,10823,Healthcare
INOX Movies,2499,Entertainment
LIC Premium,9700,Investment
Medplus Store,10318,Healthcare
Groww Investment,9065,Investment
Society Maintenance,1431,Bills
Spotify Premium,10370,Entertainment
H&M Store,18204,Shopping
LIC Premium,8708,Investment
House Rent NEFT,9969,Rent
Water Board Payment,19066,Bills
Spencer's Retail,18199,Groceries
ACT Broadband,11534,Bills
Amusement Park Entry,2997,Entertainment
JioMart Grocery,13377,Groceries
1mg Pharmacy,5130,Healthcare
Petrol Pump Payment,2292,Travel
Spotify Premium,19924,Entertainment
NEFT to Friend,15214,Transfer
Money Sent to Mom,14160,Transfer
GPay Transfer,14088,Transfer
Tata Sky Recharge,3024,Bills
ACT Broadband,11148,Bills
Doctor Consultation Fee,4888,Healthcare
UPI Transfer to Family,10425,Transfer
Paytm Wallet Load,12591,Transfer
Milk Delivery,5148,Groceries
Flipkart Order,4429,Shopping
SBI Life Insurance,8279,Investment
Domino's Pizza,8309,Food
Broadband Renewal,14712,Bills
Uber Trip,10184,Travel
Split Bill Payment,19742,Transfer
Zara Clothing,9643,Shopping
Loan Repayment to Friend,12843,Transfer
Croma Electronics,18335,Shopping
PG Rent Payment,17722,Rent
Wallet Top-up,12678,Transfer
Hotstar Subscription,17709,Entertainment
Swiggy Order,17474,Food
Wallet Top-up,9637,Transfer
Vi Recharge,13220,Bills
Zomato Delivery,7885,Food
Paytm Wallet Load,7760,Transfer
Meesho Purchase,19882,Shopping
Apartment Rent Payment,7849,Rent
House Rent NEFT,15916,Rent
ULIP Premium Payment,15418,Investment
Hotstar Subscription,1693,Entertainment
Petrol Pump Payment,2432,Travel
Milk Delivery,12281,Groceries
PPF Deposit,7737,Investment
Doctor Consultation Fee,18796,Healthcare
Croma Electronics,10495,Shopping
Uber Trip,5909,Travel
Cafe Coffee Day,7170,Food
Local Kirana Store,13507,Groceries
Grofers Order,17983,Groceries
YouTube Premium,13354,Entertainment
ACT Broadband,12426,Bills
NPS Contribution,9143,Investment
Hospital Bill Payment,18468,Healthcare
HDFC Mutual Fund SIP,10882,Investment
Vegetable Vendor Payment,8817,Groceries
Amazon Fresh,4272,Groceries
Uber Trip,10701,Travel
Apartment Rent Payment,18597,Rent
Wow Momo,8095,Food
Flipkart Order,9100,Shopping
Concert Ticket Booking,18647,Entertainment
NEFT to Friend,7209,Transfer
Metro Card Recharge,2961,Travel
House Rent NEFT,15460,Rent
Local Kirana Store,5502,Groceries
SpiceJet Booking,5454,Travel
Haldiram's,12590,Food
Subway Sandwich,15130,Food
Local Restaurant Bill,10074,Food
Ajio Store,8029,Shopping
Paytm Wallet Load,6533,Transfer
Airport Cab,11905,Travel
Bowling Alley Payment,3278,Entertainment
PG Rent Payment,7817,Rent
Health Checkup Package,18743,Healthcare
Loan Repayment to Friend,1878,Transfer
NPS Contribution,6538,Investment
Loan Repayment to Friend,14107,Transfer
Diagnostic Lab Test,15085,Healthcare
Groww Investment,2232,Investment
Pantaloons Purchase,14251,Shopping
Rent Payment Landlord,9908,Rent
Apollo Pharmacy,18248,Healthcare
IMPS Transfer,18206,Transfer
Split Bill Payment,10047,Transfer
House Rent NEFT,17979,Rent
Practo Consultation,7173,Healthcare
Grocery Store Bill,9305,Groceries
LIC Premium,4474,Investment
Internet Bill Payment,3607,Bills
House Rent NEFT,1672,Rent
Ola Cabs,6382,Travel
Zara Clothing,655,Shopping
Vistara Airlines,3605,Travel
Amazon Purchase,3321,Shopping
Bowling Alley Payment,13530,Entertainment
Society Maintenance,6969,Bills
Ola Cabs,3953,Travel
Tata Sky Recharge,809,Bills
NEFT to Friend,7028,Transfer
Mobile Bill Payment,16865,Bills
Apartment Rent Payment,4381,Rent
Tata Sky Recharge,12693,Bills
Concert Ticket Booking,6775,Entertainment
Practo Consultation,8905,Healthcare
ACT Broadband,5105,Bills
Star Bazaar,587,Groceries
INOX Movies,14575,Entertainment
Apartment Rent Payment,4551,Rent
Airport Cab,12396,Travel
Practo Consultation,4794,Healthcare
INOX Movies,5677,Entertainment
DMart Purchase,15566,Groceries
Reliance Digital,4637,Shopping
Zara Clothing,11181,Shopping
Practo Consultation,15702,Healthcare
Amusement Park Entry,16637,Entertainment
Burger King,16107,Food
Amazon Purchase,8763,Shopping
SBI Life Insurance,13185,Investment
Physiotherapy Session,12453,Healthcare
LIC Premium,4707,Investment
YouTube Premium,3799,Entertainment
NPS Contribution,18134,Investment
UPI Transfer to Family,12882,Transfer
PG Rent Payment,339,Rent
Money Sent to Mom,17111,Transfer
DMart Purchase,16016,Groceries
Amazon Fresh,14349,Groceries
ULIP Premium Payment,707,Investment
Tata Sky Recharge,4195,Bills
Netmeds Order,3367,Healthcare
Hospital Bill Payment,17255,Healthcare
Spencer's Retail,16344,Groceries
Netmeds Order,16290,Healthcare
Vegetable Vendor Payment,19717,Groceries
LIC Premium,5960,Investment
Rapido Bike,3787,Travel
Medplus Store,13488,Healthcare
Rent Payment Landlord,10781,Rent
Nature's Basket,10247,Groceries
BSNL Bill,16492,Bills
PG Rent Payment,2853,Rent
Netflix Subscription,8809,Entertainment
Nature's Basket,11593,Groceries
Star Bazaar,375,Groceries
Mobile Bill Payment,13612,Bills
Paytm Wallet Load,4102,Transfer
Money Sent to Mom,11032,Transfer
Metro Cash and Carry,14557,Groceries
Diesel Fuel Station,13299,Travel
Rental Agreement Payment,12386,Rent
Barbeque Nation,17766,Food
Diagnostic Lab Test,17646,Healthcare
Nykaa Beauty,15995,Shopping
Flipkart Order,10014,Shopping
Bowling Alley Payment,12920,Entertainment
Flipkart Order,8111,Shopping
More Supermarket,15633,Groceries
Lifestyle Store,11138,Shopping
Amazon Fresh,12932,Groceries
IKEA Furniture,18377,Shopping
SpiceJet Booking,14152,Travel
Uber Trip,15527,Travel
YouTube Premium,7284,Entertainment
JioMart Grocery,17430,Groceries
Tata Sky Recharge,5124,Bills
PG Rent Payment,17597,Rent
PG Rent Payment,576,Rent
Gold ETF Purchase,16540,Investment
Spencer's Retail,17481,Groceries
Pantaloons Purchase,4012,Shopping
Pantaloons Purchase,19089,Shopping
Zerodha Trading,14302,Investment
Apartment Rent Payment,3928,Rent
Bowling Alley Payment,12626,Entertainment
ACT Broadband,2446,Bills
Loan Repayment to Friend,13593,Transfer
Split Bill Payment,1595,Transfer
YouTube Premium,2177,Entertainment
KFC Order,8711,Food
Gaming Purchase,1144,Entertainment
Reliance Fresh,14088,Groceries
Jio Recharge,9343,Bills
Internet Bill Payment,2365,Bills
Society Maintenance,9524,Bills
Money Sent to Mom,18912,Transfer
LIC Premium,11394,Investment
Fixed Deposit Renewal,4284,Investment
Amazon Purchase,17228,Shopping
Rent Payment Landlord,882,Rent
YouTube Premium,6961,Entertainment
Dental Clinic Payment,876,Healthcare
SBI Life Insurance,6194,Investment
Rental Agreement Payment,8680,Rent
Behrouz Biryani,17469,Food
GPay Transfer,2615,Transfer
HDFC Mutual Fund SIP,16831,Investment
Chai Point,10349,Food
Snapdeal Order,8154,Shopping
Amazon Prime Video,15496,Entertainment
NEFT to Friend,4128,Transfer
PG Rent Payment,1617,Rent
Burger King,9821,Food
Domino's Pizza,14542,Food
Ola Cabs,18708,Travel
House Rent NEFT,2427,Rent
Amusement Park Entry,7973,Entertainment
Spencer's Retail,612,Groceries
PhonePe to Friend,6034,Transfer
Nykaa Beauty,6126,Shopping
Practo Consultation,7042,Healthcare
Rental Agreement Payment,13542,Rent
Cab Booking Meru,8011,Travel
Gold ETF Purchase,14986,Investment
SBI Life Insurance,3910,Investment
Amusement Park Entry,6149,Entertainment
Subway Sandwich,18848,Food
House Rent NEFT,15184,Rent
IMPS Transfer,18652,Transfer
Pizza Hut,15622,Food
Flat Rent Transfer,16961,Rent
Star Bazaar,15716,Groceries
Redbus Ticket,1698,Travel
Chaayos,13774,Food
Petrol Pump Payment,17778,Travel
Vistara Airlines,9259,Travel
Rent Payment Landlord,11011,Rent
Domino's Pizza,18548,Food
PhonePe to Friend,7717,Transfer
Reliance Fresh,13726,Groceries
Grocery Store Bill,2623,Groceries
Zomato Delivery,9012,Food
Redbus Ticket,3831,Travel
Decathlon Sports,8449,Shopping
LIC Premium,15359,Investment
Diesel Fuel Station,8558,Travel
Subway Sandwich,8668,Food
Practo Consultation,14919,Healthcare
Health Checkup Package,9108,Healthcare
Reliance Fresh,18252,Groceries
IMPS Transfer,2449,Transfer
Jio Recharge,17489,Bills
Vegetable Vendor Payment,9200,Groceries
Physiotherapy Session,7709,Healthcare
McDonalds,13803,Food
Reliance Fresh,11692,Groceries
Food Court Payment,10479,Food
Concert Ticket Booking,13430,Entertainment
House Rent NEFT,5844,Rent
Nykaa Beauty,14917,Shopping
Grocery Store Bill,8855,Groceries
Netflix Subscription,13052,Entertainment
PG Rent Payment,19606,Rent
Apartment Rent Payment,16504,Rent
Baskin Robbins,14407,Food
McDonalds,18870,Food
Zara Clothing,4934,Shopping
Medplus Store,12315,Healthcare
Paytm Wallet Load,6427,Transfer
PG Rent Payment,4676,Rent
Milk Delivery,1330,Groceries
Decathlon Sports,16401,Shopping
Gold ETF Purchase,14512,Investment
Electricity Board Bill,1991,Bills
Health Checkup Package,6686,Healthcare
Airtel Postpaid,9975,Bills
ULIP Premium Payment,2242,Investment
Amusement Park Entry,4182,Entertainment
Nykaa Beauty,6288,Shopping
